iter	Passed	Remaining
0	44	44718
1	91	45904
2	141	47166
3	215	53614
4	289	57636
5	378	62662
6	447	63449
7	532	66061
8	612	67443
9	688	68120
10	761	68466
11	843	69422
12	929	70586
13	1012	71292
14	1104	72544
15	1211	74529
16	1365	78963
17	1486	81087
18	1583	81779
19	1666	81646
20	1743	81268
21	1811	80544
22	1880	79859
23	1948	79225
24	2023	78920
25	2091	78362
26	2151	77519
27	2208	76671
28	2273	76125
29	2327	75262
30	2383	74516
31	2432	73587
32	2486	72875
33	2537	72103
34	2591	71461
35	2643	70785
36	2698	70230
37	2754	69726
38	2807	69174
39	2859	68633
40	2918	68256
41	2970	67762
42	3024	67310
43	3073	66780
44	3121	66252
45	3174	65843
46	3230	65502
47	3283	65121
48	3339	64804
49	3403	64668
50	3463	64451
51	3519	64163
52	3577	63923
53	3631	63615
54	3688	63376
55	3744	63120
56	3798	62838
57	3850	62535
58	3906	62308
59	3960	62041
60	4020	61895
61	4072	61618
62	4130	61427
63	4185	61218
64	4246	61080
65	4301	60869
66	4351	60598
67	4407	60401
68	4466	60262
69	4520	60058
70	4575	59873
71	4634	59736
72	4703	59721
73	4769	59688
74	4833	59607
75	4895	59516
76	4968	59558
77	5040	59576
78	5145	59984
79	5251	60392
80	5333	60511
81	5416	60635
82	5500	60769
83	5578	60826
84	5666	60993
85	5741	61020
86	5823	61113
87	5922	61374
88	6010	61521
89	6107	61754
90	6199	61930
91	6290	62084
92	6389	62319
93	6472	62382
94	6571	62606
95	6648	62607
96	6730	62652
97	6810	62686
98	6880	62616
99	6938	62447
100	7004	62344
101	7077	62306
102	7141	62191
103	7209	62115
104	7271	61980
105	7331	61830
106	7387	61653
107	7443	61479
108	7500	61311
109	7559	61164
110	7615	60994
111	7674	60851
112	7730	60684
113	7785	60505
114	7843	60357
115	7896	60177
116	7946	59971
117	7991	59736
118	8056	59646
119	8115	59517
120	8165	59319
121	8216	59135
122	8261	58907
123	8316	58754
124	8371	58597
125	8422	58419
126	8474	58255
127	8525	58079
128	8581	57940
129	8627	57739
130	8677	57564
131	8730	57410
132	8781	57245
133	8830	57065
134	8882	56913
135	8945	56827
136	8998	56686
137	9056	56568
138	9115	56463
139	9166	56306
140	9215	56144
141	9264	55977
142	9319	55849
143	9374	55728
144	9424	55574
145	9471	55403
146	9520	55244
147	9578	55143
148	9628	54990
149	9676	54832
150	9725	54683
151	9772	54517
152	9825	54393
153	9877	54260
154	9928	54126
155	9983	54010
156	10038	53903
157	10091	53778
158	10137	53620
159	10186	53476
160	10234	53332
161	10288	53219
162	10342	53110
163	10397	52999
164	10445	52862
165	10499	52750
166	10546	52608
167	10605	52523
168	10659	52414
169	10712	52302
170	10763	52181
171	10813	52054
172	10878	52002
173	10927	51871
174	10979	51762
175	11036	51672
176	11101	51617
177	11160	51538
178	11215	51441
179	11275	51366
180	11335	51289
181	11393	51209
182	11445	51096
183	11506	51027
184	11568	50965
185	11641	50947
186	11701	50875
187	11753	50766
188	11813	50692
189	11876	50630
190	11935	50552
191	11998	50493
192	12055	50407
193	12109	50311
194	12172	50250
195	12227	50156
196	12282	50065
197	12341	49989
198	12392	49883
199	12446	49784
200	12497	49681
201	12554	49595
202	12616	49535
203	12665	49421
204	12718	49321
205	12770	49223
206	12823	49125
207	12879	49041
208	12933	48948
209	12998	48897
210	13052	48807
211	13105	48711
212	13164	48641
213	13225	48575
214	13281	48493
215	13335	48403
216	13388	48308
217	13446	48234
218	13498	48138
219	13553	48052
220	13609	47971
221	13670	47908
222	13721	47808
223	13775	47723
224	13833	47647
225	13899	47601
226	13952	47512
227	14005	47421
228	14060	47338
229	14116	47258
230	14163	47151
231	14218	47069
