iter	Passed	Remaining
485	674	713
486	676	712
487	677	710
488	678	709
489	680	707
490	681	706
491	682	704
492	683	703
493	685	701
494	686	700
495	688	699
496	689	697
497	690	696
498	692	694
499	693	693
500	694	692
501	696	690
502	697	689
503	698	687
504	700	686
505	701	685
506	702	683
507	704	682
508	705	680
509	707	679
510	708	677
511	709	676
512	710	674
513	712	673
514	713	672
515	715	670
516	716	669
517	717	667
518	719	666
519	720	664
520	721	663
521	723	662
522	724	660
523	725	659
524	727	657
525	728	656
526	729	655
527	731	653
528	732	652
529	733	650
530	735	649
531	736	647
532	737	646
533	739	644
534	740	643
535	741	642
536	743	640
537	744	639
538	745	638
539	747	636
540	748	635
541	750	633
542	751	632
543	752	631
544	754	629
545	755	628
546	756	626
547	757	625
548	759	623
549	760	622
550	761	620
551	763	619
552	764	618
553	766	616
554	767	615
555	768	613
556	769	612
557	770	610
558	772	609
559	773	607
560	774	606
561	776	604
562	777	603
563	778	602
564	780	600
565	781	599
566	782	597
567	784	596
568	785	594
569	786	593
570	788	592
571	789	590
572	791	589
573	792	588
574	794	586
575	795	585
576	796	584
577	798	582
578	799	581
579	800	579
580	802	578
581	803	577
582	805	575
583	806	574
584	807	572
585	809	571
586	810	570
587	811	568
588	813	567
589	814	565
590	815	564
591	816	563
592	818	561
593	819	560
594	820	558
595	822	557
596	823	555
597	824	554
598	826	553
599	827	551
600	828	550
601	830	548
602	831	547
603	833	546
604	834	544
605	835	543
606	836	541
607	838	540
608	839	538
609	840	537
610	842	536
611	844	535
612	845	533
613	847	532
614	848	531
615	849	529
616	850	528
617	852	526
618	853	525
619	855	524
620	856	522
621	857	521
622	858	519
623	860	518
624	861	517
625	862	515
626	864	514
627	865	512
628	866	511
629	868	509
630	869	508
631	870	506
632	871	505
633	873	504
634	874	502
635	876	501
636	877	500
637	879	498
638	880	497
639	881	495
640	882	494
641	884	493
642	885	491
643	887	490
644	888	489
645	889	487
646	891	486
647	892	484
648	894	483
649	895	482
650	896	480
651	898	479
652	899	478
653	900	476
654	902	475
655	903	473
656	904	472
657	906	471
658	907	469
659	909	468
660	910	466
661	911	465
662	913	464
663	914	462
664	915	461
665	917	459
666	918	458
667	919	457
668	921	455
669	922	454
670	923	452
671	924	451
672	926	450
673	927	448
674	929	447
675	930	445
676	931	444
677	932	443
678	934	441
679	935	440
680	936	438
681	938	437
682	939	436
683	940	434
684	942	433
685	944	432
686	945	430
687	946	429
688	948	428
689	949	426
690	950	425
691	952	423
692	953	422
693	954	421
694	956	419
695	957	418
696	958	416
697	960	415
698	961	414
699	963	412
700	964	411
701	966	410
702	967	408
703	968	407
704	970	405
705	971	404
706	972	403
707	974	401
708	975	400
709	976	399
710	978	397
711	979	396
712	980	394
713	982	393
714	983	391
715	984	390
716	986	389
717	987	387
718	988	386
719	990	385
720	991	383
721	993	382
722	994	381
723	995	379
724	997	378
725	998	376
726	999	375
727	1001	374
728	1002	372
729	1003	371
730	1004	369
731	1006	368
732	1007	367
733	1009	365
734	1010	364
735	1011	362
736	1012	361
737	1014	360
738	1015	358
739	1016	357
740	1017	355
741	1019	354
742	1020	353
743	1022	351
744	1023	350
745	1024	348
746	1026	347
747	1027	346
748	1028	344
749	1030	343
750	1031	341
751	1032	340
752	1034	339
753	1035	337
754	1036	336
755	1038	335
756	1039	333
757	1040	332
758	1042	330
759	1043	329
760	1045	328
761	1046	326
762	1047	325
763	1049	324
764	1050	322
765	1051	321
766	1053	319
767	1054	318
768	1055	317
769	1056	315
770	1058	314
771	1059	312
772	1060	311
773	1062	310
774	1063	308
775	1064	307
776	1066	305
777	1067	304
778	1068	303
779	1070	301
780	1071	300
781	1072	299
782	1074	297
783	1075	296
784	1076	294
785	1077	293
786	1079	292
787	1080	290
788	1082	289
789	1083	287
790	1084	286
791	1086	285
792	1087	283
793	1088	282
794	1089	281
795	1091	279
796	1092	278
797	1093	276
798	1095	275
799	1096	274
800	1097	272
801	1099	271
802	1100	270
803	1102	268
804	1103	267
805	1104	265
806	1105	264
807	1107	263
808	1108	261
809	1110	260
810	1111	259
811	1112	257
812	1114	256
813	1115	254
814	1117	253
815	1118	252
816	1119	250
817	1121	249
818	1122	248
819	1123	246
820	1124	245
821	1126	243
822	1127	242
823	1128	241
824	1130	239
825	1131	238
826	1132	236
827	1133	235
828	1135	234
829	1136	232
830	1137	231
831	1139	230
832	1140	228
833	1141	227
834	1143	225
835	1144	224
836	1146	223
837	1147	221
838	1149	220
839	1150	219
840	1152	217
841	1153	216
842	1154	215
843	1156	213
844	1157	212
845	1158	210
846	1160	209
847	1161	208
848	1163	206
849	1164	205
850	1165	204
851	1167	202
852	1168	201
853	1169	199
854	1171	198
855	1172	197
856	1173	195
857	1175	194
858	1176	193
859	1178	191
860	1179	190
861	1180	189
862	1182	187
863	1183	186
864	1185	185
865	1187	183
866	1188	182
867	1190	180
868	1191	179
869	1193	178
870	1194	176
871	1196	175
872	1197	174
873	1199	172
874	1200	171
875	1201	170
876	1203	168
877	1204	167
878	1206	166
879	1208	164
880	1209	163
881	1210	162
882	1212	160
883	1214	159
884	1215	157
885	1217	156
886	1218	155
887	1220	153
888	1221	152
889	1223	151
890	1224	149
891	1226	148
892	1227	147
893	1229	145
894	1230	144
895	1231	142
896	1233	141
897	1234	140
898	1236	138
899	1237	137
900	1239	136
901	1240	134
902	1242	133
903	1243	132
904	1245	130
905	1246	129
906	1247	127
907	1249	126
908	1250	125
909	1251	123
910	1253	122
911	1254	121
912	1256	119
913	1257	118
914	1259	116
915	1260	115
916	1262	114
917	1263	112
918	1265	111
919	1266	110
920	1268	108
921	1269	107
922	1270	106
923	1272	104
924	1273	103
925	1275	101
926	1276	100
927	1277	99
928	1279	97
929	1280	96
930	1281	94
931	1282	93
932	1284	92
933	1285	90
934	1286	89
935	1288	88
936	1289	86
937	1290	85
938	1292	83
939	1293	82
940	1295	81
941	1296	79
942	1297	78
943	1299	77
944	1300	75
945	1301	74
946	1303	72
947	1304	71
948	1305	70
949	1307	68
950	1308	67
951	1309	66
952	1311	64
953	1312	63
954	1313	61
955	1315	60
956	1316	59
957	1318	57
958	1319	56
959	1320	55
960	1322	53
961	1323	52
962	1325	50
963	1326	49
964	1328	48
965	1329	46
966	1331	45
967	1332	44
968	1333	42
969	1335	41
970	1336	39
971	1338	38
972	1339	37
973	1341	35
974	1342	34
975	1343	33
976	1344	31
977	1346	30
978	1347	28
979	1348	27
980	1349	26
981	1351	24
982	1352	23
983	1354	22
984	1355	20
985	1356	19
986	1358	17
987	1359	16
988	1360	15
989	1361	13
990	1363	12
991	1364	11
992	1366	9
993	1367	8
994	1368	6
995	1370	5
996	1371	4
997	1372	2
998	1374	1
999	1375	0
