iter	Logloss
0	0.6873329837
1	0.6804272918
2	0.6754423388
3	0.6693442208
4	0.6637583622
5	0.6575896594
6	0.6525298657
7	0.6474713176
8	0.6413714869
9	0.6350868381
10	0.6302197515
11	0.6253517826
12	0.6205732904
13	0.6151907785
14	0.6110151641
15	0.6069332823
16	0.602198231
17	0.5977216448
18	0.5934792862
19	0.5895209799
20	0.5856381371
21	0.5814386485
22	0.5771293381
23	0.5721959743
24	0.5676064524
25	0.5635330823
26	0.5591944999
27	0.5550436422
28	0.5516752905
29	0.5476033217
30	0.5442701067
31	0.5411866895
32	0.5381310392
33	0.5344330664
34	0.5313707209
35	0.5281456668
36	0.5249080009
37	0.5220544517
38	0.5190560996
39	0.5157721902
40	0.5131284234
41	0.5105247238
42	0.507239465
43	0.5047173532
44	0.5016766503
45	0.4984779098
46	0.4958065318
47	0.4932283155
48	0.4903195959
49	0.4875973552
50	0.485004451
51	0.4824407668
52	0.4799227552
53	0.4769761481
54	0.4749230106
55	0.4724299632
56	0.4701331521
57	0.4681465512
58	0.4659601328
59	0.4635925293
60	0.4612631765
61	0.4593025778
62	0.4575568478
63	0.4556205386
64	0.4536371036
65	0.4518856126
66	0.4499316053
67	0.4480628189
68	0.4458346205
69	0.4439054217
70	0.4421241397
71	0.4404274039
72	0.4389057808
73	0.4368034934
74	0.4349154258
75	0.4330352472
76	0.4314852864
77	0.4294662476
78	0.4281184398
79	0.426779507
80	0.4252049972
81	0.4237670898
82	0.4223094603
83	0.4206067559
84	0.4192363194
85	0.4183610151
86	0.4167470089
87	0.4156521648
88	0.4144188239
89	0.4129844717
90	0.4114189926
91	0.4100701987
92	0.4086581379
93	0.4074640598
94	0.4062859931
95	0.4049532624
96	0.4036377887
97	0.4023156199
98	0.4011464281
99	0.3997441765
100	0.3986564948
101	0.3976286285
102	0.3963274794
103	0.3951897913
104	0.3941691133
105	0.3929384712
106	0.391743926
107	0.3905302813
108	0.3896007927
109	0.3887053509
110	0.3877606295
111	0.3866089282
112	0.3858962805
113	0.3848866832
114	0.3839675488
115	0.3829835126
116	0.3819548419
117	0.3810407937
118	0.3803091503
119	0.3791818943
120	0.3784200188
121	0.3774160787
122	0.376621402
123	0.3757436584
124	0.3749852602
125	0.3741795806
126	0.3732503774
127	0.3724004006
128	0.3713892204
129	0.3703916641
130	0.3698237932
131	0.3692086408
132	0.3685324014
133	0.3677180543
134	0.3669241042
135	0.3659866229
136	0.3651077893
137	0.3644620934
138	0.3638266739
139	0.3630505776
140	0.3625585335
141	0.3619406823
142	0.3612055616
143	0.3606074327
144	0.3600190351
145	0.3592572634
146	0.3583481977
147	0.3577821693
148	0.3570760091
149	0.3563965518
150	0.3554022653
151	0.3548447486
152	0.3542117943
153	0.3536597531
154	0.3530629735
155	0.3524508833
156	0.351893159
157	0.3512248085
158	0.3507265882
159	0.3502361272
160	0.3496454978
161	0.3491863329
162	0.3487288287
163	0.3481031145
164	0.3474526438
165	0.3469748984
166	0.3463417105
167	0.3458748123
168	0.3450385632
169	0.3445420298
170	0.3439764166
171	0.3433849568
172	0.3428906811
173	0.342322369
174	0.3418744665
175	0.3412482333
176	0.3406642992
177	0.3401240394
178	0.3395469043
179	0.339021566
180	0.3386230209
181	0.3378756257
182	0.3374487429
183	0.3368625252
184	0.3363140392
185	0.3357518774
186	0.3352476626
187	0.3348351822
188	0.334272735
189	0.3338074976
190	0.3333953027
191	0.3329602715
192	0.3325190382
193	0.3321900141
194	0.3318392695
195	0.3311471225
196	0.3306251059
197	0.3300478669
198	0.3297203739
199	0.3294513209
200	0.3291168732
201	0.3287124893
202	0.3283153716
203	0.3277205902
204	0.3273132999
205	0.3269984187
206	0.3266799563
207	0.3263631548
208	0.3260147199
209	0.325506405
210	0.3251308519
211	0.324700881
212	0.3244403138
213	0.3240725459
214	0.3236141594
215	0.3233064405
216	0.322893
217	0.3225656107
218	0.3221729045
219	0.3217357194
220	0.321351992
221	0.3208417309
222	0.3203900655
223	0.3200375563
224	0.319586955
225	0.3191152041
226	0.3187689489
227	0.3184338005
228	0.3180171422
229	0.3176083986
230	0.3172464695
231	0.3170392821
232	0.316711815
233	0.3163259857
234	0.316094379
235	0.3156659911
236	0.3153566633
237	0.3151253421
238	0.3147951502
239	0.3144549934
240	0.3140825804
241	0.31384145
242	0.3135707103
243	0.3132352245
244	0.31281444
245	0.3124906319
246	0.3122123147
247	0.3119361774
248	0.3113655298
249	0.3111178599
250	0.31073543
251	0.3103145158
252	0.3099433224
253	0.309594602
254	0.3091951487
255	0.3089686802
256	0.308679957
257	0.3083532424
258	0.3080932721
259	0.3078172645
260	0.3076542186
261	0.3073692062
262	0.3069589835
263	0.3067092636
264	0.3063634756
265	0.3060827969
266	0.3058798394
267	0.3056583534
268	0.305271512
269	0.3049846831
270	0.3047229481
271	0.3043466685
272	0.3040743199
273	0.3038387169
274	0.3035250813
275	0.3033628658
276	0.3030770749
277	0.3027117723
278	0.3023837083
279	0.3020536462
280	0.3016577481
281	0.3014162284
282	0.301274384
283	0.3009295301
284	0.3004470618
285	0.3002407567
286	0.2999443781
287	0.2997508665
288	0.2995205315
289	0.2991864211
290	0.2989866555
291	0.2986194066
292	0.298432175
293	0.2982213546
294	0.298022653
295	0.2977809517
296	0.2975492413
297	0.297369172
298	0.2971948118
299	0.2969691997
300	0.2967016519
301	0.2965177938
302	0.2963675674
303	0.296143149
304	0.2959328476
305	0.2956503784
306	0.2954950398
307	0.2952299572
308	0.2950230813
309	0.2946895158
310	0.2944331526
311	0.2943689255
312	0.2941275357
313	0.2938957993
314	0.2934699805
315	0.2931130338
316	0.2927784303
317	0.2925345492
318	0.292315814
319	0.292012273
320	0.2917508495
321	0.2914938635
322	0.2912842108
323	0.291019284
324	0.2907820202
325	0.2906130836
326	0.2904118648
327	0.2902035097
328	0.2898999947
329	0.2896562953
330	0.289395235
331	0.2890789266
332	0.2888594387
333	0.2885902041
334	0.2882702367
335	0.2881010925
336	0.2879095791
337	0.2876859392
338	0.2874244119
339	0.2872446281
340	0.286989744
341	0.286675278
342	0.286308055
343	0.2860580756
344	0.2858173344
345	0.2855705209
346	0.2854449733
347	0.2852877143
348	0.2850481929
349	0.2848741181
350	0.2846553569
351	0.2844748205
352	0.2842673996
353	0.2840417875
354	0.2838211838
355	0.2835380658
356	0.2833545451
357	0.2832495761
358	0.2830419216
359	0.2828269491
360	0.2826693269
361	0.2824858841
362	0.2822857292
363	0.2820702118
364	0.2817482462
365	0.2815544492
366	0.281373783
367	0.2813163031
368	0.281137687
369	0.2808785471
370	0.2806878382
371	0.2805567372
372	0.2803645491
373	0.2801974809
374	0.2800719592
375	0.2799565581
376	0.2798744254
377	0.2796795125
378	0.2795306355
379	0.2792281066
380	0.2790203484
381	0.2788449761
382	0.2785580174
383	0.2783521795
384	0.2781520247
385	0.2779254005
386	0.277646175
387	0.2774626025
388	0.2773566473
389	0.2770571546
390	0.2767220841
391	0.2764610239
392	0.2763161173
393	0.2761567823
394	0.2757621298
395	0.2755554095
396	0.2753315621
397	0.2750115946
398	0.2746310591
399	0.2744307226
400	0.2741915385
401	0.2738145063
402	0.2736952645
403	0.2735972761
404	0.273483484
405	0.2733283789
406	0.2732128221
407	0.2730033511
408	0.2727890015
409	0.2726767404
410	0.2724647262
411	0.2721730706
412	0.2719359106
413	0.2717123226
414	0.2715065885
415	0.2713384823
416	0.2711287258
417	0.2709051119
418	0.2708046842
419	0.2706018824
420	0.270404115
421	0.2702566912
422	0.270104804
423	0.2699436525
424	0.2698815015
425	0.2696551109
426	0.2695673728
427	0.2692927925
428	0.2690439289
429	0.2687454743
430	0.2685892014
431	0.2684351603
432	0.2682064601
433	0.268010639
434	0.2678746853
435	0.2677593361
436	0.2674008324
437	0.2670680195
438	0.2668363351
439	0.2664925711
440	0.2662951411
441	0.2661545423
442	0.2659555552
443	0.2657812728
444	0.2654671182
445	0.2651752031
446	0.2649990782
447	0.26484143
448	0.2646762043
449	0.2645699637
450	0.2644522012
451	0.2643376564
452	0.2642503855
453	0.2640552131
454	0.2636618841
455	0.2633723045
456	0.2632258409
457	0.2629441761
458	0.2627517804
459	0.2626559199
460	0.2625696091
461	0.2624904088
462	0.2622542089
463	0.2619823015
464	0.2617874924
465	0.2616172064
466	0.2613688878
467	0.2612250192
468	0.2609777645
469	0.2607076476
470	0.2606314575
471	0.2604780651
472	0.2602651687
473	0.2601671024
474	0.2598975045
475	0.2598046024
476	0.2595459555
477	0.2593706871
478	0.2592267925
479	0.2590874393
480	0.2587528099
481	0.2584854956
482	0.2583603632
483	0.2582426006
484	0.2580826947
485	0.2579099435
486	0.2577387751
487	0.2576162118
488	0.2573927795
489	0.2572103747
490	0.2571112704
491	0.2570187316
492	0.2568663513
493	0.2565044481
494	0.2563036964
495	0.2560232253
496	0.2557851052
497	0.2555956159
498	0.2554045956
499	0.2552326747
500	0.2550313262
501	0.2548629865
502	0.2547264359
503	0.2544723563
504	0.2542504551
505	0.2539086634
506	0.2536497311
507	0.2534627071
508	0.2531885939
509	0.2529668224
510	0.2528387316
511	0.2525673172
512	0.2523337384
513	0.2522042463
514	0.2520122398
515	0.2518580949
516	0.2516787263
517	0.2514573441
518	0.2513268918
519	0.2512054443
520	0.2509097664
521	0.2504933675
522	0.2502793812
523	0.250161411
524	0.2498832755
525	0.2497278849
526	0.2496739083
527	0.2494957853
528	0.2493644507
529	0.2492494648
530	0.2490972921
531	0.2488775707
532	0.2487250088
533	0.2485571621
534	0.248424011
535	0.2481838667
536	0.2479755116
537	0.2477859186
538	0.2476722821
539	0.2474642903
540	0.2473101713
541	0.2471697541
542	0.2469485017
543	0.2467973151
544	0.2467489956
545	0.2465173371
546	0.2463086187
547	0.246215483
548	0.2460291596
549	0.2458952819
550	0.2456320419
551	0.2454852669
552	0.2452277878
553	0.2451303443
554	0.2450150989
555	0.2448713601
556	0.2446549863
557	0.2445260392
558	0.2444895011
559	0.2443637199
560	0.2442134935
561	0.2439926303
562	0.2438294287
563	0.2436298708
564	0.2435052573
565	0.2433107856
566	0.2430863153
567	0.242962688
568	0.242726592
569	0.2425500779
570	0.242416797
571	0.2422087274
572	0.2420510013
573	0.2417583855
574	0.2416176569
575	0.2415795878
576	0.2414614619
577	0.2412428045
578	0.2411446085
579	0.2410349943
580	0.2408299349
581	0.2406051013
582	0.2403523452
583	0.2402786981
584	0.2402559138
585	0.2400558368
586	0.2397874586
587	0.2396935703
588	0.2396062215
589	0.2394567996
590	0.2393697881
591	0.2391387524
592	0.2390623547
593	0.2389233388
594	0.2387963898
595	0.2386878915
596	0.2385363676
597	0.2384253262
598	0.2382027762
599	0.2379586875
600	0.2377848722
601	0.2376405625
602	0.2374719633
603	0.2372136019
604	0.2368753654
605	0.2368009918
606	0.2367239972
607	0.236623258
608	0.2364167194
609	0.2361835558
610	0.2360379485
611	0.2358821947
612	0.2358336416
613	0.2357009317
614	0.2353089521
615	0.2350866616
616	0.2348534201
617	0.2347071901
618	0.2345339198
619	0.2344450659
620	0.2342117206
621	0.2340836298
622	0.2339823976
623	0.2339148489
624	0.2337655048
625	0.233585176
626	0.2333555935
627	0.2332052633
628	0.2330661696
629	0.2329837514
630	0.2328502889
631	0.2326712576
632	0.2325650689
633	0.2324326703
634	0.2322812243
635	0.2321812377
636	0.2320788377
637	0.2318558985
638	0.2317670965
639	0.2316280028
640	0.2314380724
641	0.2312088532
642	0.2309195071
643	0.2307761575
644	0.2306380499
645	0.2305044576
646	0.2304706703
647	0.230355944
648	0.2302649102
649	0.2301027467
650	0.2299297099
651	0.2297378332
652	0.2296330718
653	0.2294424667
654	0.2293372381
655	0.2291660698
656	0.22891526
657	0.2287714952
658	0.2285290154
659	0.2283539026
660	0.2281417587
661	0.2280359333
662	0.2279233868
663	0.2277516475
664	0.2275537763
665	0.2274086102
666	0.2272147354
667	0.2271280094
668	0.2269664946
669	0.2267607086
670	0.2266049288
671	0.2264749436
672	0.2263505637
673	0.2261074871
674	0.2259019086
675	0.2257979257
676	0.2256563148
677	0.2255335698
678	0.2254567568
679	0.225334946
680	0.2251440035
681	0.2249299912
682	0.2247433046
683	0.2245664532
684	0.2244293317
685	0.2241830112
686	0.224005537
687	0.2239245979
688	0.2238230284
689	0.2236979997
690	0.2235639922
691	0.2234727509
692	0.2233705586
693	0.2232247177
694	0.2231464516
695	0.2230168038
696	0.2228240967
697	0.2226606875
698	0.2226276527
699	0.222430586
700	0.2221420963
701	0.2220162113
702	0.2219563698
703	0.2217382833
704	0.2217052745
705	0.2214661683
706	0.2212791183
707	0.2210692321
708	0.2209290485
709	0.2208268561
710	0.2207101835
711	0.2206537156
712	0.2205466965
713	0.2203977157
