iter	Passed	Remaining
0	3	3216
1	5	2797
2	9	3134
3	12	3036
4	14	2945
5	17	2910
6	20	2934
7	24	3044
8	27	3030
9	30	2983
10	33	2978
11	35	2963
12	39	2962
13	43	3049
14	47	3098
15	49	3058
16	52	3007
17	56	3080
18	60	3133
19	65	3199
20	67	3163
21	72	3208
22	76	3244
23	79	3216
24	81	3174
25	85	3198
26	89	3237
27	93	3241
28	95	3204
29	97	3168
30	101	3168
31	106	3208
32	110	3226
33	113	3228
34	116	3216
35	121	3247
36	125	3262
37	127	3235
38	130	3225
39	133	3199
40	138	3246
41	142	3260
42	146	3267
43	154	3353
44	159	3387
45	164	3407
46	170	3465
47	175	3479
48	180	3502
49	186	3537
50	190	3545
51	193	3529
52	196	3515
53	203	3567
54	208	3578
55	212	3580
56	219	3623
57	223	3625
58	227	3633
59	244	3837
60	257	3966
61	271	4105
62	279	4163
63	289	4234
64	301	4340
65	314	4448
66	322	4487
67	326	4469
68	335	4527
69	345	4589
70	353	4622
71	357	4601
72	360	4579
73	364	4558
74	368	4542
75	372	4523
76	376	4515
77	380	4501
78	384	4479
79	387	4458
80	392	4454
81	396	4440
82	400	4421
83	403	4400
84	409	4406
85	413	4397
86	417	4386
87	421	4369
88	426	4363
89	430	4348
90	432	4319
91	435	4294
92	437	4270
93	442	4261
94	444	4234
95	447	4210
96	449	4184
97	452	4166
98	464	4226
99	476	4291
100	490	4365
101	500	4406
102	511	4454
103	517	4456
104	525	4478
105	535	4513
106	543	4539
107	554	4582
108	562	4597
109	576	4665
110	586	4695
111	600	4764
112	611	4799
113	626	4867
114	634	4886
115	641	4891
116	650	4910
117	658	4924
118	667	4944
119	676	4959
120	687	4991
121	694	4997
122	705	5029
123	715	5056
124	721	5053
125	731	5076
126	743	5107
127	755	5144
128	765	5167
129	775	5187
130	787	5223
131	799	5254
132	810	5281
133	822	5316
134	833	5343
135	841	5347
136	853	5375
137	863	5391
138	872	5406
139	887	5451
140	902	5495
141	913	5519
142	924	5538
143	934	5553
144	944	5568
145	952	5572
146	964	5595
147	973	5602
148	981	5608
149	991	5621
150	999	5620
151	1008	5628
152	1017	5632
153	1030	5660
154	1044	5692
155	1050	5686
156	1055	5666
157	1058	5643
158	1061	5615
159	1064	5588
160	1068	5566
161	1073	5550
162	1077	5532
163	1081	5515
164	1087	5501
165	1092	5487
166	1096	5469
167	1104	5470
168	1115	5485
169	1128	5511
170	1140	5530
171	1149	5535
172	1168	5583
173	1186	5631
174	1199	5653
175	1212	5678
176	1223	5689
177	1230	5684
178	1242	5698
179	1252	5705
180	1263	5716
181	1272	5717
182	1277	5705
183	1284	5697
184	1287	5672
185	1290	5646
186	1293	5623
187	1295	5597
188	1300	5579
189	1304	5562
190	1308	5543
191	1311	5519
192	1315	5499
193	1319	5481
194	1322	5460
195	1325	5435
196	1328	5417
197	1333	5402
198	1336	5378
199	1339	5356
200	1341	5331
201	1344	5312
202	1349	5298
203	1351	5274
204	1354	5251
205	1356	5229
206	1359	5206
207	1361	5183
208	1365	5168
209	1367	5146
210	1370	5123
211	1372	5102
212	1375	5081
213	1377	5059
214	1381	5042
215	1383	5022
216	1386	5002
217	1390	4986
218	1394	4972
219	1398	4959
220	1402	4944
221	1406	4929
222	1409	4911
223	1414	4899
224	1418	4885
225	1422	4871
226	1426	4856
227	1429	4839
228	1432	4822
229	1434	4803
230	1436	4783
231	1439	4764
232	1442	4747
233	1445	4732
234	1448	4715
235	1450	4697
236	1453	4678
237	1455	4659
238	1458	4643
239	1461	4627
240	1463	4609
241	1466	4591
242	1468	4574
243	1470	4557
244	1473	4542
245	1477	4527
246	1479	4510
247	1482	4494
248	1484	4477
249	1486	4460
250	1490	4446
251	1492	4430
252	1495	4414
253	1497	4398
254	1499	4382
255	1502	4366
256	1505	4352
257	1508	4339
258	1511	4323
259	1514	4309
260	1516	4293
261	1518	4278
262	1522	4267
263	1525	4252
264	1528	4238
265	1530	4222
266	1532	4207
